100 100 20 0.01
85	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
